Ycoordinate	Xcoordinate	Copresence	Coabund	HabitatClass	CanopyClosure	LULCChange	HeavilyManagedPts cat1970	LogEdgeDistance
4605616	705054	0	0	4	0	3	0	6	1.9823
4613485	708190	1	3	1	3	1	0	1	2.8549
4609281	703528	0	0	2	3	1	0	1	2.7966
4612166	701785	1	2	2	3	1	0	1	3.2707
4607685	704216	0	0	2	3	1	0	1	3.1255
4613098	699855	0	0	2	3	1	0	1	1.9085
4613256	706729	0	0	2	2	1	0	1	3.2982
4606311	704967	0	0	2	3	1	0	1	2.7152
4613059	706218	0	0	2	3	1	0	1	2.3324
4608580	703247	0	0	2	3	1	0	1	2.7875
4608410	702665	1	2	2	3	1	0	1	2.1173
4613035	702251	0	0	1	2	1	0	1	1.0000
4610357	706621	0	0	2	3	1	0	1	3.0481
4606504	705118	1	1	2	2	1	0	1	2.4886
4606976	703269	0	0	2	3	1	0	1	3.1738
4608545	702892	0	0	2	2	5	0	5	1.8129
4611479	706772	0	0	2	3	1	0	1	2.9590
4610920	703279	0	0	2	2	1	0	1	2.5999
4606288	704280	0	0	2	3	1	0	1	2.8357
4608641	707623	0	0	1	0	3	0	6	2.4425
4613395	704291	0	0	2	3	1	0	1	3.1553
4609261	702311	0	0	2	3	1	0	1	2.4871
4611306	704884	0	0	2	2	1	0	1	2.9952
4612700	701780	0	0	2	3	1	0	1	1.1461
4613487	700646	0	0	2	3	1	0	1	2.7789
4614450	702438	0	0	1	2	4	0	3	1.0792
4612056	705070	0	0	2	3	1	0	1	3.3021
4613350	700023	0	0	2	3	1	0	1	2.1106
4612190	704807	0	0	2	3	1	0	1	3.0128
4613038	704025	0	0	2	3	1	0	1	2.4409
4612870	699911	0	0	2	3	1	0	1	2.7938
4609864	704454	0	0	2	3	1	0	1	3.2625
4612477	704204	0	0	2	3	1	0	1	2.7396
4607386	699988	0	0	4	3	4	0	1	1.7993
4613080	707237	0	0	3	3	1	0	1	3.0314
4613458	702811	0	0	2	3	4	0	1	2.2405
4612440	701142	0	0	2	3	1	0	1	2.9370
4610868	707066	0	0	2	3	1	0	1	2.8910
4612556	701151	0	0	2	3	1	0	1	3.0860
